Model,Accuracy
home_improvement,33.33333333333333
reduce_hydro,28.39506172839506
minimize_car,38.75
vehicle_electric,24.691358024691358
protein_alternative,25.31645569620253
reduce_waste,39.24050632911392
green_product,32.098765432098766
short_distance,35.44303797468354
sort_waste,59.25925925925925
