"Model","Accuracy"
"Home Improvement Likelihood",32.0987654320988
"Reduce Hydro Likelihood",35
"Minimize Car Likelihood",43.0379746835443
"Electric Vehicle Likelihood",31.25
"Protein Alternative Likelihood",22.5
"Waste Reduction Likelihood",43.75
"Green Product Likelihood",34.5679012345679
"Short Distance Likelihood",35
"Sort Waste Likelihood",68.75
