"Education Level (2018)","2018 (%)","Education Level (2021)","2021 (%)"
"High school or less","9","Less than high school","6"
"Some community college, vocational, trade school","5","High School or equivalent","32"
"Completed community college, vocational, trade school","12","Degree or diploma from a college or university","26"
"Some university","10","Graduate or professional degree (examples: Master, PhD, MD or LLB/JD)","35"
"Completed undergraduate degree","32","Prefer not to answer","1"
"Post graduate/professional school","29","DK/NS","0"
"Prefer not to answer","3","",""
